split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,t2g-former,pc1,,8.862227201461792,0.8086989863963723,0.9441260744985673,0.5291578234585461,0.1957955528357528,0.19304513931274414
test,t2g-former,pc1,,8.862227201461792,0.7664609053497942,0.9219219219219219,0.3322422229250387,0.2575825390569573,0.07893204689025879
train,t2g-former,tic-tac-toe,,11.186111450195312,1.0,1.0,0.9999999999963858,0.003508560461849814,0.0665738582611084
test,t2g-former,tic-tac-toe,,11.186111450195312,0.9992364330515409,0.9895833333333334,0.9840838646255549,0.0392630913949972,0.03197193145751953
train,t2g-former,analcatdata_authorship,,14.659263372421265,0.9999712836860217,0.9773156899810964,0.9718025939359903,0.0674869039728641,0.18562841415405273
test,t2g-former,analcatdata_authorship,,14.659263372421265,0.9941621895793119,0.9486166007905138,0.9417246269205195,0.177411377524719,0.04851269721984863
train,t2g-former,climate-model-simulation-crashes,,4.499197721481323,0.9720695970695971,0.9823529411764705,0.9403573671682286,0.06826046470986301,0.04458785057067871
test,t2g-former,climate-model-simulation-crashes,,4.499197721481323,0.9681467181467182,0.9074074074074074,0.7742227388639419,0.15324034655714489,0.01987004280090332
train,t2g-former,qsar-biodeg,,30.66273260116577,0.9543241363320195,0.8975903614457831,0.8715297519328151,0.2552039062716349,0.4163706302642822
test,t2g-former,qsar-biodeg,,30.66273260116577,0.930622009569378,0.8422712933753943,0.8329345138103454,0.3354071057469805,0.12011075019836426
train,t2g-former,diabetes,,0.729550838470459,0.8752308446086006,0.8074534161490683,0.7575795721378095,0.4263764711348325,0.014198780059814453
test,t2g-former,diabetes,,0.729550838470459,0.8144039735099339,0.7662337662337663,0.7335390038630435,0.5040283406156162,0.006523847579956055
train,t2g-former,ilpd,,5.755904912948608,0.7625590694292983,0.6948228882833788,0.6891167253340089,0.5148681506722603,0.10350799560546875
test,t2g-former,ilpd,,5.755904912948608,0.7649601063829787,0.7257142857142858,0.7108580371083042,0.49200748574170666,0.04664492607116699
train,t2g-former,credit-approval,,3.7437691688537598,0.9642826570792673,0.9078341013824884,0.9083233791225719,0.24693836628438806,0.09276390075683594
test,t2g-former,credit-approval,,3.7437691688537598,0.9149953139643862,0.8502415458937198,0.8517031836344785,0.3908567825851707,0.0431370735168457
train,t2g-former,dresses-sales,,3.2446160316467285,0.7865508043677587,0.6984126984126984,0.7065761193576805,0.571460320415746,0.0515131950378418
test,t2g-former,dresses-sales,,3.2446160316467285,0.5617588031381134,0.5,0.4988583938641793,0.7712972503893083,0.023261070251464844
train,t2g-former,mfeat-morphological,,11.517630815505981,0.9736137008161462,0.7658730158730159,0.0,0.5493883621217741,0.25297093391418457
test,t2g-former,mfeat-morphological,,11.517630815505981,0.9649062426446008,0.7183333333333334,0.0,0.6644363657944156,0.11688995361328125
train,t2g-former,vehicle,,3.0388243198394775,0.9114214120070107,0.6954887218045113,0.4735343571219887,0.5976428628020726,0.059870243072509766
test,t2g-former,vehicle,,3.0388243198394775,0.9008033691674789,0.6692913385826772,0.4189488937142088,0.642780849295721,0.028003215789794922
train,t2g-former,banknote-authentication,,7.520526170730591,0.9999782514136581,0.9988425925925926,0.998966407990195,0.008246224408145451,0.1499330997467041
test,t2g-former,banknote-authentication,,7.520526170730591,1.0,1.0,0.9999999999950844,0.0009250185643700375,0.06966805458068848
train,t2g-former,analcatdata_dmft,,2.4751460552215576,0.6980457264586182,0.363855421686747,0.3403215600092032,1.4336739672212426,0.05393624305725098
test,t2g-former,analcatdata_dmft,,2.4751460552215576,0.5737632140000516,0.23618090452261306,0.22677634965976842,1.6765428956196613,0.024567842483520508
train,t2g-former,MiceProtein,,110.6888530254364,1.0,0.9970588235294118,0.9973438589834871,0.02575600247098208,1.259139060974121
test,t2g-former,MiceProtein,,110.6888530254364,0.9997032234173832,0.9753086419753086,0.9705584067746663,0.09715844079727536,0.4635298252105713
train,t2g-former,cylinder-bands,,8.540200233459473,0.9477831812857194,0.8764705882352941,0.8780086284316958,0.3044686532417835,0.06397080421447754
test,t2g-former,cylinder-bands,,8.540200233459473,0.825923016496465,0.7345679012345679,0.7413285032366362,0.54900012539524,0.0315709114074707
