split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,CatBoost,semeion,3552.299297094345,2.561040163040161,1.0,1.0,0.9999999999899799,0.0017534792604687632,0.0009529590606689453
test,CatBoost,semeion,3552.299297094345,2.561040163040161,0.9981753187651154,0.9351464435146444,0.9354061921034619,0.19437709067593767,0.0008280277252197266
train,CatBoost,cnae-9,546.3074369430542,32.07890510559082,0.9999842056511995,0.9970588235294118,0.9971731085732898,0.09073068646093045,0.0018208026885986328
test,CatBoost,cnae-9,546.3074369430542,32.07890510559082,0.9954810191014017,0.9259259259259259,0.9246477818377303,0.29872677762111016,0.001300811767578125
train,CatBoost,vowel,402.97958612442017,1.499478816986084,1.0,1.0,0.9999999999821859,0.0003435767202449229,0.0009589195251464844
test,CatBoost,vowel,402.97958612442017,1.499478816986084,0.9997836757069678,0.9494949494949495,0.9542931635069365,0.09816954627908116,0.000827789306640625
train,CatBoost,breast-w,15.482778072357178,0.08256411552429199,0.9999999999999999,1.0,0.9999999999950624,0.010676254708561197,0.00026488304138183594
test,CatBoost,breast-w,15.482778072357178,0.08256411552429199,0.9974950422711617,0.9666666666666667,0.9594644158737244,0.06116875162320011,0.000141143798828125
train,CatBoost,eucalyptus,46.16116404533386,0.14200401306152344,0.9954365100261185,0.9342857142857143,0.9216814452491945,0.38087742303257366,0.0005030632019042969
test,CatBoost,eucalyptus,46.16116404533386,0.14200401306152344,0.8793553541434899,0.6586826347305389,0.5918509841035289,0.7827963438113237,0.0007250308990478516
train,CatBoost,wdbc,74.93346309661865,0.5608136653900146,1.0,1.0,0.9999999999940542,0.0014434507569579282,0.0003859996795654297
test,CatBoost,wdbc,74.93346309661865,0.5608136653900146,0.9979423868312757,0.9766081871345029,0.9713715098794915,0.05426398492743886,0.0001938343048095703
train,CatBoost,pc4,63.82339000701904,0.13388681411743164,0.9999829895328927,0.9967320261437909,0.9861425171901167,0.050399385043871835,0.0004930496215820312
test,CatBoost,pc4,63.82339000701904,0.13388681411743164,0.9420866687536334,0.9018264840182648,0.5791419457371006,0.20880624561977537,0.0002269744873046875
train,CatBoost,credit-g,24.86565399169922,0.08517694473266602,0.9876543209876543,0.9476190476190476,0.9122431412373274,0.267941170022863,0.00032901763916015625
test,CatBoost,credit-g,24.86565399169922,0.08517694473266602,0.7869498922130501,0.77,0.6005763395552797,0.4967675552938963,0.00018596649169921875
train,CatBoost,cmc,22.452038764953613,0.11976504325866699,0.7897478462143419,0.5965480043149946,0.5615419586207344,0.8460622452736053,0.0004291534423828125
test,CatBoost,cmc,22.452038764953613,0.11976504325866699,0.7614960107414065,0.5656108597285068,0.5170274603350075,0.8768301493610546,0.0003712177276611328
train,CatBoost,blood-transfusion-service-center,13.307585954666138,0.014281034469604492,0.7866022099447515,0.7957446808510639,0.3939965379849333,0.4455399107040041,0.0001971721649169922
test,CatBoost,blood-transfusion-service-center,13.307585954666138,0.014281034469604492,0.7406565656565656,0.7377777777777778,0.2851545744176013,0.5125873029974967,0.00012183189392089844
train,CatBoost,pc3,67.74024415016174,0.1939849853515625,0.9980357744743662,0.9786585365853658,0.8851582653007396,0.07646360890023929,0.0003631114959716797
test,CatBoost,pc3,67.74024415016174,0.1939849853515625,0.8066569484936831,0.8827292110874201,0.37206904486466624,0.296066386393077,0.00025200843811035156
train,CatBoost,car,22.452346801757812,0.061989784240722656,1.0,1.0,0.9999999999872489,0.018102359224174993,0.0005021095275878906
test,CatBoost,car,22.452346801757812,0.061989784240722656,0.9997783864665926,0.9903660886319846,0.98923416940809,0.04393162497160649,0.0003039836883544922
train,CatBoost,kc2,74.22349691390991,0.08487176895141602,0.9796549479166666,0.9725609756097561,0.9354143466851624,0.14175651237616615,0.0002429485321044922
test,CatBoost,kc2,74.22349691390991,0.08487176895141602,0.7635688684075781,0.7898089171974523,0.6279054331338941,0.47982615122351285,0.00014591217041015625
