split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,AutoGulon,cylinder-bands,784.191652,206.386324,0.7773877164502163,0.7088904694167854,0.5400433723913184,0.595165628289709,80.573824
test,AutoGulon,cylinder-bands,784.191652,206.386324,0.7324780976220275,0.5802469135802469,0.0,0.668705660612976,80.573824
train,AutoGulon,credit-approval,744.092334,268.945148,0.924665612165612,0.8467687074829933,0.8304065325586697,0.5552419225201622,111.39024
test,AutoGulon,credit-approval,744.092334,268.945148,0.8946597353497164,0.7632850241545893,0.7181813831162852,0.6124785619087573,111.39024
train,AutoGulon,dresses-sales,758.957286,259.865873,0.6053469387755102,0.5942857142857142,0.3084988755619153,0.6786700426598488,113.246682
test,AutoGulon,dresses-sales,758.957286,259.865873,0.5734355044699871,0.56,0.4655628512595333,0.6801974019349406,113.246682
train,AutoGulon,kc2,549.38032,229.957719,0.830572660098522,0.7946696696696696,0.0,0.4910674337192697,93.273932
test,AutoGulon,kc2,549.38032,229.957719,0.73475,0.7961783439490446,0.0,0.4958181045496181,93.273932
train,AutoGulon,eucalyptus,3795.842688,1133.928502,0.791742157974301,0.5192307692307693,0.2363367165992608,1.1925961802467593,427.655795
test,AutoGulon,eucalyptus,3795.842688,1133.928502,0.8572288578392094,0.6167664670658682,0.5773811005507817,1.0355435316290764,427.655795
train,AutoGulon,qsar-biodeg,1514.396863,388.58169,0.8984506802721087,0.8102739726027398,0.7137931733582226,0.4681916357582123,129.654468
test,AutoGulon,qsar-biodeg,1514.396863,388.58169,0.8800178015131286,0.6876971608832808,0.2734343708098652,0.5401261501866864,129.654468
train,AutoGulon,credit-g,1155.491551,392.218339,0.7442176870748299,0.7271428571428571,0.4597072253773479,0.5384790801487922,153.668882
test,AutoGulon,credit-g,1155.491551,392.218339,0.7605820105820106,0.7466666666666667,0.6300667639100851,0.5553090404429984,153.668882
train,AutoGulon,breast-w,535.791641,138.335716,0.9877527573529412,0.8569727891156462,0.7694413661828776,0.4492356231305341,50.322004
test,AutoGulon,breast-w,535.791641,138.335716,0.9906400966183576,0.961904761904762,0.961046882889233,0.1575731291263507,50.322004
train,AutoGulon,vehicle,2143.296388,665.891469,0.8519680627325718,0.5992937853107344,0.4954695282321077,1.3224536707162329,169.792625
test,AutoGulon,vehicle,2143.296388,665.891469,0.9173623952169626,0.7086614173228346,0.6775972168686872,1.0593484554998545,169.792625
train,AutoGulon,mfeat-morphological,2914.783556,581.417113,0.9517743764172336,0.6828571428571428,0.4424286688975531,1.694135622617404,281.794605
test,AutoGulon,mfeat-morphological,2914.783556,581.417113,0.9595216049382717,0.7033333333333334,0.6691013322619186,0.9816480517002116,281.794605
train,AutoGulon,analcatdata_authorship,1951.681631,620.034004,0.9855939440993788,0.7871712448860316,0.1841185002521035,0.936297824382594,250.710239
test,AutoGulon,analcatdata_authorship,1951.681631,620.034004,0.9751621016418212,0.6758893280632411,0.0,1.1451236029324856,250.710239
train,AutoGulon,pc1,981.945872,365.858608,0.7547507610350077,0.9304362304362304,0.0,0.2484448411470469,115.9041
test,AutoGulon,pc1,981.945872,365.858608,0.7668302945301543,0.9309309309309308,0.0,0.2475833437417716,115.9041
train,AutoGulon,vowel,5211.709555,1185.075314,0.9633405483405484,0.7546997929606625,0.7247205555266705,1.414635304148375,336.672888
test,AutoGulon,vowel,5211.709555,1185.075314,0.9694600324229956,0.7508417508417509,0.7375016654321641,1.5630401190209595,336.672888
train,AutoGulon,analcatdata_dmft,853.507775,291.817961,0.557228044332211,0.2469472710453283,0.0774471332126348,1.6588228262332383,150.943135
test,AutoGulon,analcatdata_dmft,853.507775,291.817961,0.5844153557782836,0.2763819095477386,0.2641029164689255,1.6000094029652103,150.943135
train,AutoGulon,semeion,4402.181037,932.943153,0.9632179752066116,0.8108429858429858,0.7996280690419685,1.156815094986254,280.79601
test,AutoGulon,semeion,4402.181037,932.943153,0.959533348904297,0.7866108786610879,0.7785040092831527,1.741159527975357,280.79601
train,AutoGulon,MiceProtein,3625.529669,1136.838906,0.9652016943944705,0.8268245614035086,0.8106824894941399,1.594008381243172,544.427227
test,AutoGulon,MiceProtein,3625.529669,1136.838906,0.971426325961972,0.8179012345679012,0.8136436715642791,1.83462970126064,544.427227
train,AutoGulon,cmc,2926.547984,674.220171,0.693054531686778,0.5043035847647498,0.3412563902888125,0.9928949424287808,758.566165
test,AutoGulon,cmc,2926.547984,674.220171,0.749166926029671,0.5497737556561086,0.4832801657790632,0.8858926901384921,758.566165
