,dataset,total_time,tuning_time,training_time,predict_time,best_params_preset,best_params_model_set,train_metrics_accuracy,train_metrics_gmean,train_metrics_cross_entropy,train_metrics_auc_ovo,test_metrics_accuracy,test_metrics_gmean,test_metrics_cross_entropy,test_metrics_auc_ovo
16,kc2,872.6119711399078,549.38032,229.957719,93.273932,good_quality,all_trees,0.7946696696696696,0.0,0.4910674337192697,0.830572660098522,0.7961783439490446,0.0,0.49581810454961817,0.73475
17,eucalyptus,5357.426985502243,3795.842688,1133.928502,427.655795,medium_quality,all_trees,0.5192307692307693,0.23633671659926084,1.1925961802467593,0.791742157974301,0.6167664670658682,0.5773811005507817,1.0355435316290764,0.8572288578392094
18,qsar-biodeg,2032.6330208778381,1514.396863,388.58169,129.654468,high_quality,tree_ensemble,0.8102739726027398,0.7137931733582226,0.4681916357582123,0.8984506802721087,0.6876971608832808,0.27343437080986527,0.5401261501866864,0.8800178015131286
19,credit-g,1701.3787724971771,1155.491551,392.218339,153.668882,good_quality,gbm_cat,0.7271428571428571,0.4597072253773479,0.5384790801487922,0.7442176870748299,0.7466666666666667,0.6300667639100851,0.5553090404429984,0.7605820105820106
20,breast-w,724.4493613243103,535.791641,138.335716,50.322004,good_quality,gbm_xgb,0.8569727891156462,0.7694413661828776,0.4492356231305341,0.9877527573529411,0.9619047619047619,0.961046882889233,0.1575731291263507,0.9906400966183575
21,vehicle,2978.980481863022,2143.296388,665.891469,169.792625,good_quality,gbm_cat_xgb,0.5992937853107344,0.49546952823210777,1.3224536707162327,0.8519680627325718,0.7086614173228346,0.6775972168686872,1.0593484554998545,0.9173623952169626
22,mfeat-morphological,3777.9952738285065,2914.783556,581.417113,281.794605,good_quality,gbm_cat_xgb,0.6828571428571428,0.4424286688975531,1.694135622617404,0.9517743764172337,0.7033333333333334,0.6691013322619186,0.9816480517002115,0.9595216049382717
23,analcatdata_authorship,2822.4258739948273,1951.681631,620.034004,250.710239,good_quality,all_trees,0.7871712448860316,0.18411850025210355,0.9362978243825941,0.9855939440993788,0.6758893280632411,0.0,1.1451236029324856,0.9751621016418213
24,pc1,1463.7085800170898,981.945872,365.858608,115.9041,medium_quality,gbm_only,0.9304362304362304,0.0,0.24844484114704693,0.7547507610350077,0.9309309309309309,0.0,0.24758334374177168,0.7668302945301543
25,vowel,6733.457756996155,5211.709555,1185.075314,336.672888,medium_quality,gbm_cat,0.7546997929606625,0.7247205555266705,1.414635304148375,0.9633405483405483,0.7508417508417509,0.7375016654321641,1.5630401190209597,0.9694600324229955
26,analcatdata_dmft,1296.2688703536987,853.507775,291.817961,150.943135,high_quality,gbm_cat_xgb,0.24694727104532838,0.07744713321263481,1.6588228262332383,0.557228044332211,0.27638190954773867,0.26410291646892553,1.6000094029652105,0.5844153557782836
27,semeion,5615.9202003479,4402.181037,932.943153,280.79601,good_quality,gbm_cat,0.8108429858429858,0.7996280690419685,1.156815094986254,0.9632179752066115,0.7866108786610879,0.7785040092831527,1.741159527975357,0.959533348904297
28,MiceProtein,5306.795802354813,3625.529669,1136.838906,544.427227,medium_quality,all_trees,0.8268245614035086,0.8106824894941399,1.594008381243172,0.9652016943944703,0.8179012345679012,0.8136436715642791,1.8346297012606398,0.9714263259619719
29,cmc,4359.334319591522,2926.547984,674.220171,758.566165,high_quality,gbm_cat,0.5043035847647498,0.3412563902888125,0.9928949424287807,0.693054531686778,0.5497737556561086,0.4832801657790632,0.8858926901384921,0.749166926029671
